,rand_smi,cano_smi,Class,pIC50
0,CC1(C)OCC[C@H](C1)NC(=O)[C@@H](Cc1c(N)nc2c(cc(-c3c(C)cccc3)cc2)c1)C,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,1,9.1549015
1,c1ccccc1CC[C@@H](C(N[C@H]([C@@H]([C@H]1C[C@@H](OCCC)C[NH2+]1)O)Cc1cc(cc(c1)F)F)=O)N1CC[C@@](CC(C)C)(NC(C)=O)C1=O,CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,1,8.8538723
2,C(c1cn2CCS(N(C)c3cc(cc1c32)C(N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]Cc1cccc(OC)c1)=O)(=O)=O)C,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,1,8.6989698
3,C(c1cc(ccc1)C(C)(C)C)[NH2+][C@@H]1[C@@H](O)[C@@H](CS(=O)(=O)C1)Cc1cc(O[C@H](COCC)C(F)(F)F)c(c(F)c1)N,CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,1,8.6989698
4,c1(C[C@H](NC(c2cc3c(CC)cn4c3c(N(S(=O)(=O)CC4)C)c2)=O)[C@H](O)C[NH2+]Cc2cccc(c2)C(F)(F)F)ccccc1,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,1,8.6989698
5,FC(F)(F)C(Oc1cc(cc(c1N)F)C[C@H]1[C@H](O)[C@@H]([NH2+]Cc2cc(C(C)(C)C)ccc2)CS(=O)C1)C(F)(F)F,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,1,8.6989698
6,N(C(=O)[C@H](NC(c1cnccc1)=O)CS(=O)(CCCCC)=O)[C@@H](Cc1cc(F)cc(c1)F)[C@H](O)C[NH2+]Cc1cc(CC)ccc1,CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,1,8.6989698
7,CCn1cc([C@]2(c3cccc(-c4cncc(c4)C#CC)c3)[NH+]=C(c3c2cccc3F)N)cc(C)c1=O,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)[NH+]=C(N)c4c(F)cccc43)c2)c1,1,8.6126099
8,[NH2+](C[C@H]([C@H]1NC(=O)c2ccc(=O)n(CCCCc3cccc(C1)c3)c2)O)[C@H]1CC2(CCC2)Oc2c1cc(CC)cc2,CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,1,8.6020603
9,c1(ccccc1)C[C@H](NC(=O)[C@H]1C[C@H](CCC1)C(C)(C)N1CCCCC1=O)[C@H](O)C[NH2+]Cc1cc(C(C)C)ccc1,CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,1,8.6020603
10,C([C@@H]([C@H](O)[C@@H]1[NH2+]C[C@H](Oc2ccccc2)C1)NC(=O)c1cc(C)cc(C(N(CCC)CCC)=O)c1)c1cc(cc(F)c1)F,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)C[NH2+]2)c1,1,8.5228786
